,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.0001754160039126873,14.0,10.0,10,0.1,600
1,1,0.002200082875788212,16.0,22.0,10,0.1,600
2,2,0.0024366662837564945,17.0,34.0,10,0.1,600
3,3,0.002669957932084799,17.0,45.0,10,0.1,600
4,4,0.0029086251743137836,17.0,56.0,10,0.1,600
5,5,0.0031422078609466553,17.0,67.0,10,0.1,600
6,6,0.003374291118234396,17.0,78.0,10,0.1,600
7,7,0.0036011249758303165,17.0,89.0,10,0.1,600
8,8,0.003823332954198122,17.0,100.0,10,0.1,600
9,9,0.004050208255648613,17.0,111.0,10,0.1,600
10,10,0.004351875279098749,17.0,122.0,10,0.1,600
11,11,0.004606958013027906,17.0,133.0,10,0.1,600
12,12,0.004844291135668755,17.0,144.0,10,0.1,600
13,13,0.0051125832833349705,17.0,155.0,10,0.1,600
14,14,0.005343208089470863,17.0,166.0,10,0.1,600
15,15,0.005567540880292654,17.0,177.0,10,0.1,600
16,16,0.005792208015918732,17.0,188.0,10,0.1,600
17,17,0.006014375016093254,17.0,199.0,10,0.1,600
18,18,0.006237790919840336,17.0,210.0,10,0.1,600
19,19,0.006464666221290827,17.0,221.0,10,0.1,600
20,20,0.006696540862321854,17.0,232.0,10,0.1,600
21,21,0.0069198329001665115,17.0,243.0,10,0.1,600
22,22,0.007143041118979454,17.0,254.0,10,0.1,600
23,23,0.0073700412176549435,17.0,265.0,10,0.1,600
24,24,0.007597708143293858,17.0,276.0,10,0.1,600
25,25,0.007821499835699797,17.0,287.0,10,0.1,600
26,26,0.008046000264585018,17.0,298.0,10,0.1,600
27,27,0.008270374964922667,17.0,309.0,10,0.1,600
28,28,0.008498957846313715,17.0,320.0,10,0.1,600
29,29,0.008722790982574224,17.0,331.0,10,0.1,600
30,30,0.008947290945798159,17.0,342.0,10,0.1,600
31,31,0.009175249841064215,17.0,353.0,10,0.1,600
32,32,0.009403541218489408,17.0,364.0,10,0.1,600
33,33,0.009629250038415194,17.0,375.0,10,0.1,600
34,34,0.009858165867626667,17.0,386.0,10,0.1,600
35,35,0.010088125243782997,17.0,397.0,10,0.1,600
36,36,0.010316625237464905,17.0,408.0,10,0.1,600
37,37,0.010543708223849535,17.0,419.0,10,0.1,600
38,38,0.010770916007459164,17.0,430.0,10,0.1,600
39,39,0.010995958000421524,17.0,441.0,10,0.1,600
40,40,0.011236375197768211,17.0,452.0,10,0.1,600
41,41,0.01146595785394311,17.0,463.0,10,0.1,600
42,42,0.011693625245243311,17.0,474.0,10,0.1,600
43,43,0.011919666081666946,17.0,485.0,10,0.1,600
44,44,0.01215608324855566,17.0,496.0,10,0.1,600
45,45,0.012390249874442816,17.0,507.0,10,0.1,600
46,46,0.012619083281606436,17.0,518.0,10,0.1,600
47,47,0.012849875260144472,17.0,529.0,10,0.1,600
48,48,0.013092166278511286,17.0,540.0,10,0.1,600
49,49,0.013329333160072565,17.0,551.0,10,0.1,600
50,50,0.01356162503361702,17.0,562.0,10,0.1,600
51,51,0.013790000230073929,17.0,573.0,10,0.1,600
52,52,0.01422604126855731,17.0,584.0,10,0.1,600
53,53,0.014485333114862442,17.0,595.0,10,0.1,600
54,54,0.014722874853760004,17.0,606.0,10,0.1,600
55,55,0.014963124878704548,17.0,617.0,10,0.1,600
56,56,0.015196790918707848,17.0,628.0,10,0.1,600
57,57,0.015431541018188,17.0,639.0,10,0.1,600
58,58,0.015664000064134598,17.0,650.0,10,0.1,600
