,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,0,14.0,10,0.0001754160039126873,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",10,0.1,600
1,100,18.0,1113,0.025875875260680914,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",10,0.1,600
2,0,14.0,10,0.00013254163786768913,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",10,0.2,600
3,100,17.0,1112,0.025268832687288523,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",10,0.2,600
4,0,14.0,10,0.00012958329170942307,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",10,0.5,600
5,100,18.0,1113,0.026342333294451237,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",10,0.5,600
6,0,14.0,10,0.00012783287093043327,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",10,0.75,600
7,100,18.0,1113,0.027315208222717047,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",10,0.75,600
8,0,14.0,10,0.00012637535110116005,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",10,1.0,600
9,100,18.0,1113,0.027920625172555447,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",10,1.0,600
10,0,14.0,20,0.0002126670442521572,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",20,0.1,600
11,100,18.0,2123,0.04817441711202264,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",20,0.1,600
12,0,14.0,20,0.00021633319556713104,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",20,0.2,600
13,100,18.0,2123,0.04904854204505682,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",20,0.2,600
14,0,14.0,20,0.0002111252397298813,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",20,0.5,600
15,100,18.0,2123,0.05118970898911357,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",20,0.5,600
16,0,14.0,20,0.00021204212680459023,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",20,0.75,600
17,100,18.0,2122,0.05277470778673887,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",20,0.75,600
18,0,14.0,20,0.00021233269944787025,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",20,1.0,600
19,100,18.0,2122,0.05425366573035717,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",20,1.0,600
20,0,14.0,50,0.0004648338072001934,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",50,0.1,600
21,100,18.0,5151,0.11132262507453561,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",50,0.1,600
22,0,14.0,50,0.0004601660184562206,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",50,0.2,600
23,100,18.0,5151,0.11385062523186207,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",50,0.2,600
24,0,14.0,50,0.00046229176223278046,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",50,0.5,600
25,100,18.0,5151,0.11859637498855591,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",50,0.5,600
26,0,14.0,50,0.00046116625890135765,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",50,0.75,600
27,100,18.0,5151,0.12290016608312726,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",50,0.75,600
28,0,14.0,50,0.0004710839129984379,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",50,1.0,600
29,100,18.0,5151,0.12674429174512625,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",50,1.0,600
