,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,14.0,10,0.00018479209393262863,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",True,10,0.1,600
1,100,16.0,1111,0.11379154212772846,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0]",True,10,0.1,600
2,0,14.0,10,0.0001382920891046524,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",True,10,0.25,600
3,100,16.0,1111,0.11114904191344976,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0]",True,10,0.25,600
4,0,14.0,10,0.00013529090210795403,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",True,10,0.5,600
5,100,17.0,1112,0.11271433299407363,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0]",True,10,0.5,600
6,0,14.0,10,0.0001344173215329647,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",True,10,0.75,600
7,100,17.0,1111,0.11262654233723879,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]",True,10,0.75,600
8,0,14.0,10,0.0001361672766506672,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",True,10,0.9,600
9,100,18.0,1111,0.11268795933574438,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",True,10,0.9,600
10,0,14.0,20,0.00022462476044893265,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",True,20,0.1,600
11,100,17.0,2122,0.11713558295741677,"[1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",True,20,0.1,600
12,0,14.0,20,0.00021704193204641342,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",True,20,0.25,600
13,100,16.0,2122,0.11862808372825384,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0]",True,20,0.25,600
14,0,14.0,20,0.00022004218772053719,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",True,20,0.5,600
15,100,18.0,2122,0.12105600023642182,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",True,20,0.5,600
16,0,14.0,20,0.00021687475964426994,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",True,20,0.75,600
17,100,16.0,2121,0.12133149988949299,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0]",True,20,0.75,600
18,0,14.0,20,0.00021845800802111626,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",True,20,0.9,600
19,100,16.0,2122,0.1313650831580162,"[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",True,20,0.9,600
20,0,14.0,50,0.0004786248318850994,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",True,50,0.1,600
21,100,18.0,5151,0.1340099168010056,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",True,50,0.1,600
22,0,14.0,50,0.0004624580033123493,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",True,50,0.25,600
23,100,18.0,5152,0.14046729123219848,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]",True,50,0.25,600
24,0,14.0,50,0.00046966690570116043,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",True,50,0.5,600
25,100,18.0,5151,0.14839575020596385,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",True,50,0.5,600
26,0,14.0,50,0.000475333072245121,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",True,50,0.75,600
