,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0,14.0,0,6.849970668554306e-05,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",0,600,0
1,100,17.0,103,0.003721874672919512,"[1, 0, 0, 1, 1, 1, 1, 1, 1, 1]",0,600,0
2,0,14.0,0,4.0374696254730225e-05,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",25,600,0
3,100,17.0,103,0.00330466590821743,"[1, 0, 0, 1, 1, 1, 1, 1, 1, 1]",25,600,0
4,0,12.0,103,0.005460874643176794,"[1, 0, 0, 1, 0, 1, 1, 0, 1, 1]",25,600,1
5,100,18.0,207,0.011261040810495615,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",25,600,1
6,0,12.0,207,0.014025457669049501,"[1, 1, 0, 0, 1, 0, 1, 0, 1, 0]",25,600,2
7,100,16.0,310,0.022103749681264162,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 1]",25,600,2
8,0,12.0,310,0.02543895784765482,"[1, 0, 0, 1, 0, 0, 1, 1, 0, 1]",25,600,3
9,100,17.0,413,0.03570804093033075,"[1, 0, 0, 1, 1, 1, 1, 1, 1, 1]",25,600,3
10,0,13.0,413,0.0387290408834815,"[0, 1, 1, 1, 0, 0, 1, 1, 1, 0]",25,600,4
11,100,14.0,514,0.05097549967467785,"[0, 1, 1, 1, 0, 0, 1, 1, 1, 1]",25,600,4
12,0,4.0,514,0.05455924989655614,"[0, 1, 0, 1, 0, 1, 1, 1, 1, 0]",25,600,5
13,100,18.0,618,0.06923249969258904,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",25,600,5
14,0,13.0,618,0.07341908290982246,"[1, 1, 1, 0, 1, 0, 0, 0, 1, 1]",25,600,6
15,100,18.0,722,0.09181562485173345,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",25,600,6
16,0,13.0,722,0.09672149969264865,"[1, 1, 0, 1, 1, 1, 0, 0, 0, 1]",25,600,7
17,100,18.0,826,0.11590708279982209,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",25,600,7
18,0,2.0,826,0.12028795760124922,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 1]",25,600,8
19,100,18.0,931,0.14156683254987001,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",25,600,8
