,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,14.0,0,4.254188388586044e-05,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",geometric,0.001,0.55,0.001,0.001,0.001,600
1,100,18.0,125,0.0036992081440985203,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",geometric,0.001,0.55,0.001,0.001,0.001,600
2,0,14.0,0,4.28343191742897e-05,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",geometric,0.01,0.55,0.001,0.00999974392386976,0.01,600
3,100,18.0,125,0.004042542073875666,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",geometric,0.01,0.55,0.001,0.00997586136835632,0.01,600
4,0,14.0,0,5.395803600549698e-05,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",geometric,0.1,0.55,0.001,0.09999677424098752,0.1,600
5,100,18.0,125,0.004427791107445955,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",geometric,0.1,0.55,0.001,0.09973564031171786,0.1,600
6,0,14.0,0,3.558304160833359e-05,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",geometric,0.25,0.55,0.001,0.2499946818418482,0.25,600
7,100,18.0,125,0.004400916863232851,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",geometric,0.25,0.55,0.001,0.24934310679758237,0.25,600
8,0,14.0,0,3.470899537205696e-05,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",geometric,0.5,0.55,0.001,0.499989624946797,0.5,600
9,100,18.0,125,0.005097874905914068,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",geometric,0.5,0.55,0.001,0.49847847063691697,0.5,600
10,0,14.0,0,3.6667101085186005e-05,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",geometric,0.75,0.55,0.001,0.7499835594678923,0.75,600
11,100,18.0,125,0.005121333058923483,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",geometric,0.75,0.55,0.001,0.7477072199222639,0.75,600
12,0,14.0,0,3.454228863120079e-05,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",geometric,1.0,0.55,0.001,0.9999793495549889,1,600
13,100,18.0,125,0.005425792187452316,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",geometric,1.0,0.55,0.001,0.9967615159106007,1,600
