,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,6.791716441512108e-05,6.0,0.0,10,0.1,510
1,1,0.0014888341538608074,14.0,2.0,10,0.1,510
2,2,0.0016639591194689274,14.0,3.0,10,0.1,510
3,3,0.001841084100306034,14.0,4.0,10,0.1,510
4,4,0.0020084590651094913,14.0,5.0,10,0.1,510
5,5,0.0021736668422818184,14.0,6.0,10,0.1,510
6,6,0.0023349998518824577,14.0,7.0,10,0.1,510
7,7,0.0025059999898076057,14.0,8.0,10,0.1,510
8,8,0.0026692920364439487,14.0,9.0,10,0.1,510
9,9,0.0028293337672948837,14.0,10.0,10,0.1,510
10,10,0.002990792039781809,14.0,11.0,10,0.1,510
11,11,0.00442120898514986,14.0,12.0,10,0.1,510
12,12,0.004598999861627817,14.0,13.0,10,0.1,510
13,13,0.004763334058225155,14.0,14.0,10,0.1,510
14,14,0.0049258749932050705,14.0,15.0,10,0.1,510
15,15,0.005087333731353283,14.0,16.0,10,0.1,510
16,16,0.005249499808996916,14.0,17.0,10,0.1,510
17,17,0.005414833780378103,14.0,18.0,10,0.1,510
18,18,0.005576209165155888,14.0,19.0,10,0.1,510
19,19,0.005737124942243099,14.0,20.0,10,0.1,510
20,20,0.005904042162001133,14.0,21.0,10,0.1,510
21,21,0.006065167021006346,14.0,22.0,10,0.1,510
22,22,0.0062269167974591255,14.0,23.0,10,0.1,510
23,23,0.006393167190253735,14.0,24.0,10,0.1,510
24,24,0.006560834124684334,14.0,25.0,10,0.1,510
25,25,0.0067254588939249516,14.0,26.0,10,0.1,510
26,26,0.0068873749114573,14.0,27.0,10,0.1,510
27,27,0.007047208957374096,14.0,28.0,10,0.1,510
28,28,0.007215375080704689,14.0,29.0,10,0.1,510
29,29,0.00737595884129405,14.0,30.0,10,0.1,510
30,30,0.007547583896666765,16.0,32.0,10,0.1,510
31,31,0.0077092088758945465,16.0,33.0,10,0.1,510
32,32,0.007871916983276606,16.0,34.0,10,0.1,510
33,33,0.008033959195017815,16.0,35.0,10,0.1,510
34,34,0.00821166718378663,16.0,36.0,10,0.1,510
35,35,0.008373791817575693,16.0,37.0,10,0.1,510
36,36,0.008540334179997444,16.0,38.0,10,0.1,510
37,37,0.008710416965186596,16.0,39.0,10,0.1,510
38,38,0.008873541839420795,16.0,40.0,10,0.1,510
39,39,0.009036125149577856,16.0,41.0,10,0.1,510
40,40,0.009206625167280436,16.0,42.0,10,0.1,510
41,41,0.009381291922181845,16.0,43.0,10,0.1,510
42,42,0.009551959112286568,16.0,44.0,10,0.1,510
43,43,0.009714541956782341,16.0,45.0,10,0.1,510
44,44,0.009878749959170818,16.0,46.0,10,0.1,510
45,45,0.010042250156402588,16.0,47.0,10,0.1,510
46,46,0.01021304214373231,16.0,48.0,10,0.1,510
47,47,0.010390792042016983,16.0,49.0,10,0.1,510
48,48,0.01058545894920826,16.0,50.0,10,0.1,510
49,49,0.010752833914011717,16.0,51.0,10,0.1,510
50,50,0.010926208924502134,16.0,52.0,10,0.1,510
51,51,0.011090208776295185,16.0,53.0,10,0.1,510
52,52,0.011258999817073345,16.0,54.0,10,0.1,510
53,53,0.01143141696229577,16.0,55.0,10,0.1,510
54,54,0.011596959084272385,16.0,56.0,10,0.1,510
55,55,0.011766000185161829,16.0,57.0,10,0.1,510
56,56,0.011934209149330854,16.0,58.0,10,0.1,510
57,57,0.01210316689684987,16.0,59.0,10,0.1,510
58,58,0.012272417079657316,16.0,60.0,10,0.1,510
59,59,0.012438375037163496,16.0,61.0,10,0.1,510
60,60,0.012609167024493217,16.0,62.0,10,0.1,510
61,61,0.012779917102307081,16.0,63.0,10,0.1,510
62,62,0.012954459059983492,16.0,64.0,10,0.1,510
63,63,0.013120249845087528,16.0,65.0,10,0.1,510
64,64,0.013294000178575516,16.0,66.0,10,0.1,510
65,65,0.013461750000715256,16.0,67.0,10,0.1,510
66,66,0.013633334077894688,16.0,68.0,10,0.1,510
67,67,0.013809292111545801,16.0,69.0,10,0.1,510
68,68,0.01398208411410451,16.0,70.0,10,0.1,510
69,69,0.014149792026728392,16.0,71.0,10,0.1,510
70,70,0.0143225840292871,16.0,72.0,10,0.1,510
71,71,0.01449462492018938,16.0,73.0,10,0.1,510
72,72,0.014668041840195656,16.0,74.0,10,0.1,510
73,73,0.01484387507662177,16.0,75.0,10,0.1,510
74,74,0.01501754205673933,16.0,76.0,10,0.1,510
75,75,0.015190625097602606,16.0,77.0,10,0.1,510
76,76,0.015361125115305185,16.0,78.0,10,0.1,510
77,77,0.015539499931037426,16.0,79.0,10,0.1,510
78,78,0.015709541738033295,16.0,80.0,10,0.1,510
79,79,0.015884541906416416,16.0,81.0,10,0.1,510
80,80,0.016058874782174826,16.0,82.0,10,0.1,510
81,81,0.016232875175774097,16.0,83.0,10,0.1,510
82,82,0.016407374758273363,16.0,84.0,10,0.1,510
83,83,0.016585541889071465,16.0,85.0,10,0.1,510
84,84,0.016756500117480755,16.0,86.0,10,0.1,510
85,85,0.01693237479776144,16.0,87.0,10,0.1,510
86,86,0.017107458785176277,16.0,88.0,10,0.1,510
87,87,0.01728062517940998,16.0,89.0,10,0.1,510
88,88,0.017461000010371208,16.0,90.0,10,0.1,510
89,89,0.017639124765992165,16.0,91.0,10,0.1,510
90,90,0.01781479176133871,16.0,92.0,10,0.1,510
91,91,0.017987667117267847,16.0,93.0,10,0.1,510
92,92,0.018160750158131123,16.0,94.0,10,0.1,510
93,93,0.018334417138248682,16.0,95.0,10,0.1,510
94,94,0.018507542088627815,16.0,96.0,10,0.1,510
95,95,0.018684749957174063,16.0,97.0,10,0.1,510
96,96,0.018858000170439482,16.0,98.0,10,0.1,510
