,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,9.249988943338394e-05,6.0,0.0,True,10,0.1,510
1,1,0.0032048746943473816,13.0,2.0,True,10,0.1,510
2,2,0.004903959110379219,13.0,3.0,True,10,0.1,510
3,3,0.006568958982825279,13.0,4.0,True,10,0.1,510
4,4,0.00821424974128604,13.0,5.0,True,10,0.1,510
5,5,0.009859709069132805,13.0,6.0,True,10,0.1,510
6,6,0.011498333886265755,13.0,7.0,True,10,0.1,510
7,7,0.013128791935741901,13.0,8.0,True,10,0.1,510
8,8,0.014773708768188953,13.0,9.0,True,10,0.1,510
9,9,0.01640187483280897,13.0,10.0,True,10,0.1,510
10,10,0.018030999694019556,13.0,11.0,True,10,0.1,510
11,11,0.02117333374917507,13.0,12.0,True,10,0.1,510
12,12,0.022836416959762573,13.0,13.0,True,10,0.1,510
13,13,0.024482208769768476,13.0,14.0,True,10,0.1,510
14,14,0.026120708789676428,13.0,15.0,True,10,0.1,510
15,15,0.027757042087614536,13.0,16.0,True,10,0.1,510
16,16,0.029387041926383972,13.0,17.0,True,10,0.1,510
17,17,0.031027792021632195,13.0,18.0,True,10,0.1,510
18,18,0.032659041695296764,13.0,19.0,True,10,0.1,510
19,19,0.03430733410641551,13.0,20.0,True,10,0.1,510
20,20,0.03593749972060323,13.0,21.0,True,10,0.1,510
21,21,0.03756149997934699,13.0,22.0,True,10,0.1,510
22,22,0.03921154187992215,13.0,23.0,True,10,0.1,510
23,23,0.0408571669831872,13.0,24.0,True,10,0.1,510
24,24,0.042487042024731636,13.0,25.0,True,10,0.1,510
25,25,0.04411987494677305,13.0,26.0,True,10,0.1,510
26,26,0.045739291701465845,13.0,27.0,True,10,0.1,510
27,27,0.04736316669732332,13.0,28.0,True,10,0.1,510
28,28,0.048981583677232265,13.0,29.0,True,10,0.1,510
29,29,0.050613208673894405,13.0,30.0,True,10,0.1,510
30,30,0.05223124986514449,13.0,31.0,True,10,0.1,510
31,31,0.053848291747272015,13.0,32.0,True,10,0.1,510
32,32,0.055469291750341654,13.0,33.0,True,10,0.1,510
33,33,0.057092125061899424,13.0,34.0,True,10,0.1,510
34,34,0.0587119166739285,13.0,35.0,True,10,0.1,510
35,35,0.0603558337315917,13.0,36.0,True,10,0.1,510
36,36,0.0619719997048378,13.0,37.0,True,10,0.1,510
37,37,0.06359170889481902,13.0,38.0,True,10,0.1,510
38,38,0.06521449983119965,13.0,39.0,True,10,0.1,510
39,39,0.06684200000017881,13.0,40.0,True,10,0.1,510
40,40,0.06846208404749632,13.0,41.0,True,10,0.1,510
41,41,0.07007408374920487,13.0,42.0,True,10,0.1,510
42,42,0.07170145912095904,13.0,43.0,True,10,0.1,510
43,43,0.07332162512466311,13.0,44.0,True,10,0.1,510
44,44,0.07494595879688859,13.0,45.0,True,10,0.1,510
45,45,0.0765680419281125,13.0,46.0,True,10,0.1,510
46,46,0.0781870000064373,13.0,47.0,True,10,0.1,510
47,47,0.07980829197913408,13.0,48.0,True,10,0.1,510
48,48,0.08143979171290994,13.0,49.0,True,10,0.1,510
49,49,0.08306187484413385,13.0,50.0,True,10,0.1,510
50,50,0.08468383410945535,13.0,51.0,True,10,0.1,510
