,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,6.0,0,4.591606557369232e-05,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",geometric,0.001,0.99,0.001,0.001,0.001,510
1,10,16.0,19,0.0014982502907514572,"[1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,0.001,0.99,0.001,0.001,0.001,510
2,110,16.0,149,0.005387833341956139,"[1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1]",geometric,0.001,0.99,0.001,0.001,0.001,510
3,210,18.0,271,0.011533208191394806,"[1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,0.001,0.99,0.001,0.001,0.001,510
4,310,18.0,382,0.019882708322256804,"[1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,0.001,0.99,0.001,0.001,0.001,510
5,410,18.0,489,0.030258750077337027,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,0.001,0.99,0.001,0.001,0.001,510
6,510,18.0,602,0.04286820814013481,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,0.001,0.99,0.001,0.001,0.001,510
7,0,6.0,0,4.2499974370002747e-05,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",geometric,0.01,0.99,0.001,0.009999995728610751,0.01,510
8,10,16.0,19,0.0031485422514379025,"[1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,0.01,0.99,0.001,0.009999683565935873,0.01,510
9,110,16.0,149,0.00875937519595027,"[1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1]",geometric,0.01,0.99,0.001,0.00999911969212351,0.01,510
10,210,18.0,271,0.01668962510302663,"[1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,0.01,0.99,0.001,0.009998322777293985,0.01,510
11,310,18.0,382,0.026649625040590763,"[1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,0.01,0.99,0.001,0.009997321981832822,0.01,510
12,410,18.0,489,0.0388177502900362,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,0.01,0.99,0.001,0.009996099446638776,0.01,510
13,510,18.0,602,0.05314845824614167,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,0.01,0.99,0.001,0.009994659827825077,0.01,510
14,0,6.0,0,4.150019958615303e-05,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",geometric,0.1,0.99,0.001,0.09999995829091432,0.1,510
15,10,16.0,19,0.004847624804824591,"[1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,0.1,0.99,0.001,0.09999512809294323,0.1,510
16,110,16.0,149,0.012190209235996008,"[1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1]",geometric,0.1,0.99,0.001,0.09998774918077953,0.1,510
17,210,18.0,271,0.021757000125944614,"[1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,0.1,0.99,0.001,0.09997813587470529,0.1,510
18,310,18.0,382,0.03350266721099615,"[1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,0.1,0.99,0.001,0.0999663343624021,0.1,510
19,410,18.0,489,0.047294499818235636,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,0.1,0.99,0.001,0.09995247873421231,0.1,510
20,510,18.0,602,0.06349566718563437,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,0.1,0.99,0.001,0.09993620507957213,0.1,510
21,0,6.0,0,4.845811054110527e-05,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",geometric,0.25,0.99,0.001,0.2499998782449582,0.25,510
22,10,16.0,19,0.0071396250277757645,"[1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,0.25,0.99,0.001,0.2499820617362441,0.25,510
23,110,16.0,149,0.01670012529939413,"[1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1]",geometric,0.25,0.99,0.001,0.24995804305415095,0.25,510
24,210,18.0,271,0.02850316697731614,"[1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,0.25,0.99,0.001,0.2499283936566428,0.25,510
25,310,18.0,382,0.04225779231637716,"[1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,0.25,0.99,0.001,0.24989384629229933,0.25,510
26,410,18.0,489,0.05866837501525879,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,0.25,0.99,0.001,0.2498526342321942,0.25,510
27,510,18.0,602,0.07712212530896068,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,0.25,0.99,0.001,0.24980629926346126,0.25,510
28,0,6.0,0,4.695914685726166e-05,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",geometric,0.5,0.99,0.001,0.49999976402245705,0.5,510
29,10,16.0,19,0.008648375049233437,"[1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,0.5,0.99,0.001,0.49995654235176074,0.5,510
30,110,16.0,150,0.01980483392253518,"[1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1]",geometric,0.5,0.99,0.001,0.49990048728787184,0.5,510
31,210,18.0,263,0.032899375073611736,"[1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,0.5,0.99,0.001,0.49983470244487516,0.5,510
32,310,18.0,374,0.04836929216980934,"[1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,0.5,0.99,0.001,0.4997569952547948,0.5,510
33,410,18.0,481,0.06618516705930233,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,0.5,0.99,0.001,0.4996675190139024,0.5,510
34,510,18.0,594,0.08613862516358495,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,0.5,0.99,0.001,0.49956732625820965,0.5,510
35,0,6.0,0,4.612468183040619e-05,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",geometric,0.75,0.99,0.001,0.7499996523236729,0.75,510
36,10,16.0,19,0.010761084035038948,"[1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,0.75,0.99,0.001,0.7499188900046789,0.75,510
37,110,18.0,164,0.02603020891547203,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1]",geometric,0.75,0.99,0.001,0.7498038164066906,0.75,510
38,210,18.0,271,0.04158345889300108,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1]",geometric,0.75,0.99,0.001,0.7496866196938523,0.75,510
39,310,18.0,378,0.05937970895320177,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1]",geometric,0.75,0.99,0.001,0.7495525440176201,0.75,510
40,410,18.0,485,0.07895691692829132,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1]",geometric,0.75,0.99,0.001,0.7494050784294868,0.75,510
41,510,18.0,591,0.10077670868486166,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,0.75,0.99,0.001,0.7492407547354346,0.75,510
42,0,6.0,0,5.195802077651024e-05,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",geometric,1.0,0.99,0.001,0.9999994778045772,1,510
43,10,16.0,19,0.012008041143417358,"[1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,1.0,0.99,0.001,0.9998793224356891,1,510
44,110,18.0,152,0.026583791244775057,"[1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,1.0,0.99,0.001,0.9997328596580678,1,510
45,210,18.0,261,0.04336487501859665,"[1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,1.0,0.99,0.001,0.9995642634025954,1,510
46,310,18.0,371,0.06275354092940688,"[1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,1.0,0.99,0.001,0.9993695046834205,1,510
47,410,18.0,479,0.08384266635403037,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,1.0,0.99,0.001,0.9991577079715351,1,510
48,510,18.0,592,0.1073895413428545,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,1.0,0.99,0.001,0.9989212812781414,1,510
