,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.00017412519082427025,4.0,10.0,10,0.1,1510
1,1,0.0023960419930517673,4.0,21.0,10,0.1,1510
2,2,0.0026817922480404377,4.0,32.0,10,0.1,1510
3,3,0.002949708141386509,6.0,44.0,10,0.1,1510
4,4,0.003214083146303892,6.0,55.0,10,0.1,1510
5,5,0.0034762080758810043,6.0,66.0,10,0.1,1510
6,6,0.003733375109732151,6.0,77.0,10,0.1,1510
7,7,0.004010792355984449,7.0,89.0,10,0.1,1510
8,8,0.004282375331968069,7.0,100.0,10,0.1,1510
9,9,0.00453941710293293,7.0,111.0,10,0.1,1510
10,10,0.0048001669347286224,7.0,122.0,10,0.1,1510
11,0,0.00017412519082427025,4.0,10.0,10,0.2,1510
12,1,0.0023960419930517673,4.0,21.0,10,0.2,1510
13,2,0.0026817922480404377,4.0,32.0,10,0.2,1510
14,3,0.002949708141386509,6.0,44.0,10,0.2,1510
15,4,0.003214083146303892,6.0,55.0,10,0.2,1510
16,5,0.0034762080758810043,6.0,66.0,10,0.2,1510
17,6,0.003733375109732151,6.0,77.0,10,0.2,1510
18,7,0.004010792355984449,6.0,88.0,10,0.2,1510
19,8,0.004282375331968069,6.0,99.0,10,0.2,1510
20,9,0.00453941710293293,6.0,110.0,10,0.2,1510
21,10,0.0048001669347286224,6.0,121.0,10,0.2,1510
22,0,0.00017412519082427025,4.0,10.0,10,0.5,1510
23,1,0.0023960419930517673,4.0,21.0,10,0.5,1510
24,2,0.0026817922480404377,4.0,32.0,10,0.5,1510
25,3,0.002949708141386509,4.0,43.0,10,0.5,1510
26,4,0.003214083146303892,4.0,54.0,10,0.5,1510
27,5,0.0034762080758810043,4.0,65.0,10,0.5,1510
28,6,0.003733375109732151,4.0,76.0,10,0.5,1510
29,7,0.004010792355984449,4.0,87.0,10,0.5,1510
30,8,0.004282375331968069,4.0,98.0,10,0.5,1510
31,9,0.00453941710293293,4.0,109.0,10,0.5,1510
32,10,0.0048001669347286224,4.0,120.0,10,0.5,1510
33,0,0.00017412519082427025,4.0,10.0,10,0.75,1510
34,1,0.0023960419930517673,4.0,21.0,10,0.75,1510
35,2,0.0026817922480404377,4.0,32.0,10,0.75,1510
36,3,0.002949708141386509,4.0,43.0,10,0.75,1510
37,4,0.003214083146303892,4.0,54.0,10,0.75,1510
38,5,0.0034762080758810043,4.0,65.0,10,0.75,1510
39,6,0.003733375109732151,4.0,76.0,10,0.75,1510
40,7,0.004010792355984449,4.0,87.0,10,0.75,1510
41,8,0.004282375331968069,4.0,98.0,10,0.75,1510
42,9,0.00453941710293293,4.0,109.0,10,0.75,1510
43,10,0.0048001669347286224,4.0,120.0,10,0.75,1510
44,0,0.00017412519082427025,4.0,10.0,10,1.0,1510
45,1,0.0023960419930517673,4.0,21.0,10,1.0,1510
46,2,0.0026817922480404377,4.0,32.0,10,1.0,1510
47,3,0.002949708141386509,4.0,43.0,10,1.0,1510
48,4,0.003214083146303892,4.0,54.0,10,1.0,1510
49,5,0.0034762080758810043,4.0,65.0,10,1.0,1510
50,6,0.003733375109732151,4.0,76.0,10,1.0,1510
51,7,0.004010792355984449,4.0,87.0,10,1.0,1510
52,8,0.004282375331968069,4.0,98.0,10,1.0,1510
53,9,0.00453941710293293,4.0,109.0,10,1.0,1510
54,10,0.0048001669347286224,4.0,120.0,10,1.0,1510
55,0,0.00017412519082427025,4.0,20.0,20,0.1,1510
56,1,0.0023960419930517673,4.0,41.0,20,0.1,1510
57,2,0.0026817922480404377,7.0,63.0,20,0.1,1510
58,3,0.002949708141386509,7.0,84.0,20,0.1,1510
59,4,0.003214083146303892,7.0,105.0,20,0.1,1510
60,5,0.0034762080758810043,46.0,127.0,20,0.1,1510
61,6,0.003733375109732151,47.0,149.0,20,0.1,1510
62,7,0.004010792355984449,47.0,170.0,20,0.1,1510
63,8,0.004282375331968069,50.0,192.0,20,0.1,1510
64,9,0.00453941710293293,50.0,213.0,20,0.1,1510
65,10,0.0048001669347286224,50.0,234.0,20,0.1,1510
66,0,0.00017412519082427025,4.0,20.0,20,0.2,1510
