,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.00020720809698104858,4.0,10.0,True,10,0.1,1510
1,1,0.006999415811151266,4.0,21.0,True,10,0.1,1510
2,2,0.012005874887108803,4.0,32.0,True,10,0.1,1510
3,3,0.017270832788199186,4.0,43.0,True,10,0.1,1510
4,4,0.02227908279746771,4.0,54.0,True,10,0.1,1510
5,5,0.027065707836300135,4.0,65.0,True,10,0.1,1510
6,6,0.03183283284306526,4.0,76.0,True,10,0.1,1510
7,7,0.03677074983716011,4.0,87.0,True,10,0.1,1510
8,8,0.0419619157910347,4.0,98.0,True,10,0.1,1510
9,9,0.047075457870960236,4.0,109.0,True,10,0.1,1510
10,10,0.052146332804113626,4.0,120.0,True,10,0.1,1510
11,0,0.00020720809698104858,4.0,10.0,True,10,0.25,1510
12,1,0.006999415811151266,4.0,21.0,True,10,0.25,1510
13,2,0.012005874887108803,4.0,32.0,True,10,0.25,1510
14,3,0.017270832788199186,4.0,43.0,True,10,0.25,1510
15,4,0.02227908279746771,4.0,54.0,True,10,0.25,1510
16,5,0.027065707836300135,4.0,65.0,True,10,0.25,1510
17,6,0.03183283284306526,4.0,76.0,True,10,0.25,1510
18,7,0.03677074983716011,4.0,87.0,True,10,0.25,1510
19,8,0.0419619157910347,4.0,98.0,True,10,0.25,1510
20,9,0.047075457870960236,4.0,109.0,True,10,0.25,1510
21,10,0.052146332804113626,4.0,120.0,True,10,0.25,1510
22,0,0.00020720809698104858,4.0,10.0,True,10,0.5,1510
23,1,0.006999415811151266,4.0,21.0,True,10,0.5,1510
24,2,0.012005874887108803,4.0,32.0,True,10,0.5,1510
25,3,0.017270832788199186,4.0,43.0,True,10,0.5,1510
26,4,0.02227908279746771,4.0,54.0,True,10,0.5,1510
27,5,0.027065707836300135,4.0,65.0,True,10,0.5,1510
28,6,0.03183283284306526,4.0,76.0,True,10,0.5,1510
29,7,0.03677074983716011,4.0,87.0,True,10,0.5,1510
30,8,0.0419619157910347,4.0,98.0,True,10,0.5,1510
31,9,0.047075457870960236,4.0,109.0,True,10,0.5,1510
32,10,0.052146332804113626,4.0,120.0,True,10,0.5,1510
33,0,0.00020720809698104858,4.0,10.0,True,10,0.75,1510
34,1,0.006999415811151266,4.0,21.0,True,10,0.75,1510
35,2,0.012005874887108803,4.0,32.0,True,10,0.75,1510
36,3,0.017270832788199186,4.0,43.0,True,10,0.75,1510
37,4,0.02227908279746771,4.0,54.0,True,10,0.75,1510
38,5,0.027065707836300135,4.0,65.0,True,10,0.75,1510
39,6,0.03183283284306526,4.0,76.0,True,10,0.75,1510
40,7,0.03677074983716011,4.0,87.0,True,10,0.75,1510
41,8,0.0419619157910347,4.0,98.0,True,10,0.75,1510
42,9,0.047075457870960236,4.0,109.0,True,10,0.75,1510
43,10,0.052146332804113626,4.0,120.0,True,10,0.75,1510
44,0,0.00020720809698104858,4.0,10.0,True,10,0.9,1510
45,1,0.006999415811151266,4.0,21.0,True,10,0.9,1510
46,2,0.012005874887108803,4.0,32.0,True,10,0.9,1510
47,3,0.017270832788199186,4.0,43.0,True,10,0.9,1510
48,4,0.02227908279746771,4.0,54.0,True,10,0.9,1510
49,5,0.027065707836300135,4.0,65.0,True,10,0.9,1510
50,6,0.03183283284306526,4.0,76.0,True,10,0.9,1510
51,7,0.03677074983716011,4.0,87.0,True,10,0.9,1510
52,8,0.0419619157910347,4.0,98.0,True,10,0.9,1510
53,9,0.047075457870960236,4.0,109.0,True,10,0.9,1510
54,10,0.052146332804113626,4.0,120.0,True,10,0.9,1510
55,0,0.00020720809698104858,4.0,20.0,True,20,0.1,1510
56,1,0.006999415811151266,4.0,41.0,True,20,0.1,1510
57,2,0.012005874887108803,4.0,62.0,True,20,0.1,1510
58,3,0.017270832788199186,4.0,83.0,True,20,0.1,1510
59,4,0.02227908279746771,4.0,104.0,True,20,0.1,1510
60,5,0.027065707836300135,4.0,125.0,True,20,0.1,1510
61,6,0.03183283284306526,4.0,146.0,True,20,0.1,1510
62,7,0.03677074983716011,4.0,167.0,True,20,0.1,1510
63,8,0.0419619157910347,4.0,188.0,True,20,0.1,1510
64,9,0.047075457870960236,4.0,209.0,True,20,0.1,1510
65,10,0.052146332804113626,4.0,230.0,True,20,0.1,1510
66,0,0.00020720809698104858,4.0,20.0,True,20,0.25,1510
67,1,0.006999415811151266,7.0,42.0,True,20,0.25,1510
68,2,0.012005874887108803,7.0,63.0,True,20,0.25,1510
69,3,0.017270832788199186,7.0,84.0,True,20,0.25,1510
70,4,0.02227908279746771,7.0,105.0,True,20,0.25,1510
71,5,0.027065707836300135,7.0,126.0,True,20,0.25,1510
72,6,0.03183283284306526,7.0,147.0,True,20,0.25,1510
73,7,0.03677074983716011,7.0,168.0,True,20,0.25,1510
74,8,0.0419619157910347,7.0,189.0,True,20,0.25,1510
75,9,0.047075457870960236,7.0,210.0,True,20,0.25,1510
76,10,0.052146332804113626,7.0,231.0,True,20,0.25,1510
77,0,0.00020720809698104858,4.0,20.0,True,20,0.5,1510
78,1,0.006999415811151266,7.0,42.0,True,20,0.5,1510
79,2,0.012005874887108803,7.0,63.0,True,20,0.5,1510
80,3,0.017270832788199186,7.0,84.0,True,20,0.5,1510
81,4,0.02227908279746771,7.0,105.0,True,20,0.5,1510
82,5,0.027065707836300135,7.0,126.0,True,20,0.5,1510
83,6,0.03183283284306526,7.0,147.0,True,20,0.5,1510
84,7,0.03677074983716011,7.0,168.0,True,20,0.5,1510
85,8,0.0419619157910347,7.0,189.0,True,20,0.5,1510
86,9,0.047075457870960236,7.0,210.0,True,20,0.5,1510
87,10,0.052146332804113626,7.0,231.0,True,20,0.5,1510
88,0,0.00020720809698104858,4.0,20.0,True,20,0.75,1510
89,1,0.006999415811151266,4.0,41.0,True,20,0.75,1510
90,2,0.012005874887108803,9.0,63.0,True,20,0.75,1510
91,3,0.017270832788199186,9.0,84.0,True,20,0.75,1510
92,4,0.02227908279746771,9.0,105.0,True,20,0.75,1510
93,5,0.027065707836300135,9.0,126.0,True,20,0.75,1510
94,6,0.03183283284306526,9.0,147.0,True,20,0.75,1510
95,7,0.03677074983716011,9.0,168.0,True,20,0.75,1510
96,8,0.0419619157910347,9.0,189.0,True,20,0.75,1510
97,9,0.047075457870960236,9.0,210.0,True,20,0.75,1510
98,10,0.052146332804113626,9.0,231.0,True,20,0.75,1510
99,0,0.00020720809698104858,4.0,20.0,True,20,0.9,1510
100,1,0.006999415811151266,4.0,41.0,True,20,0.9,1510
101,2,0.012005874887108803,9.0,63.0,True,20,0.9,1510
102,3,0.017270832788199186,9.0,84.0,True,20,0.9,1510
103,4,0.02227908279746771,9.0,105.0,True,20,0.9,1510
104,5,0.027065707836300135,9.0,126.0,True,20,0.9,1510
105,6,0.03183283284306526,9.0,147.0,True,20,0.9,1510
106,7,0.03677074983716011,9.0,168.0,True,20,0.9,1510
107,8,0.0419619157910347,9.0,189.0,True,20,0.9,1510
108,9,0.047075457870960236,9.0,210.0,True,20,0.9,1510
109,10,0.052146332804113626,9.0,231.0,True,20,0.9,1510
110,0,0.00020720809698104858,4.0,50.0,True,50,0.1,1510
111,1,0.006999415811151266,11.0,102.0,True,50,0.1,1510
112,2,0.012005874887108803,14.0,154.0,True,50,0.1,1510
113,3,0.017270832788199186,14.0,205.0,True,50,0.1,1510
114,4,0.02227908279746771,14.0,256.0,True,50,0.1,1510
115,5,0.027065707836300135,14.0,307.0,True,50,0.1,1510
116,6,0.03183283284306526,14.0,358.0,True,50,0.1,1510
117,7,0.03677074983716011,14.0,409.0,True,50,0.1,1510
118,8,0.0419619157910347,14.0,460.0,True,50,0.1,1510
119,9,0.047075457870960236,14.0,511.0,True,50,0.1,1510
120,10,0.052146332804113626,14.0,562.0,True,50,0.1,1510
121,0,0.00020720809698104858,4.0,50.0,True,50,0.25,1510
122,1,0.006999415811151266,7.0,102.0,True,50,0.25,1510
