,Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,0,0.00011704210191965103,4.0,0.0,0.001,1510
1,1,0.003583167213946581,4.0,1.0,0.001,1510
2,2,0.0036170841194689274,4.0,3.0,0.001,1510
3,3,0.003643583972007036,4.0,5.0,0.001,1510
4,4,0.0036674593575298786,4.0,7.0,0.001,1510
5,5,0.0036926250904798508,4.0,9.0,0.001,1510
6,6,0.003716542385518551,4.0,11.0,0.001,1510
7,7,0.0037406249903142452,4.0,13.0,0.001,1510
8,8,0.003760792315006256,4.0,14.0,0.001,1510
9,9,0.0037861252203583717,4.0,16.0,0.001,1510
10,10,0.0038109170272946358,4.0,18.0,0.001,1510
11,0,0.00011704210191965103,4.0,0.0,0.01,1510
12,1,0.003583167213946581,4.0,1.0,0.01,1510
13,2,0.0036170841194689274,4.0,3.0,0.01,1510
14,3,0.003643583972007036,4.0,5.0,0.01,1510
15,4,0.0036674593575298786,4.0,7.0,0.01,1510
16,5,0.0036926250904798508,4.0,9.0,0.01,1510
17,6,0.003716542385518551,4.0,11.0,0.01,1510
18,7,0.0037406249903142452,4.0,13.0,0.01,1510
19,8,0.003760792315006256,4.0,14.0,0.01,1510
20,9,0.0037861252203583717,4.0,16.0,0.01,1510
21,10,0.0038109170272946358,4.0,18.0,0.01,1510
22,0,0.00011704210191965103,4.0,0.0,0.1,1510
23,1,0.003583167213946581,4.0,1.0,0.1,1510
24,2,0.0036170841194689274,4.0,3.0,0.1,1510
25,3,0.003643583972007036,4.0,5.0,0.1,1510
26,4,0.0036674593575298786,4.0,7.0,0.1,1510
27,5,0.0036926250904798508,4.0,9.0,0.1,1510
28,6,0.003716542385518551,4.0,11.0,0.1,1510
29,7,0.0037406249903142452,4.0,13.0,0.1,1510
30,8,0.003760792315006256,4.0,14.0,0.1,1510
31,9,0.0037861252203583717,4.0,16.0,0.1,1510
32,10,0.0038109170272946358,4.0,18.0,0.1,1510
33,0,0.00011704210191965103,4.0,0.0,0.25,1510
34,1,0.003583167213946581,4.0,1.0,0.25,1510
35,2,0.0036170841194689274,4.0,3.0,0.25,1510
36,3,0.003643583972007036,4.0,5.0,0.25,1510
37,4,0.0036674593575298786,4.0,7.0,0.25,1510
38,5,0.0036926250904798508,4.0,9.0,0.25,1510
39,6,0.003716542385518551,4.0,11.0,0.25,1510
40,7,0.0037406249903142452,4.0,13.0,0.25,1510
41,8,0.003760792315006256,4.0,14.0,0.25,1510
42,9,0.0037861252203583717,4.0,16.0,0.25,1510
43,10,0.0038109170272946358,4.0,18.0,0.25,1510
44,0,0.00011704210191965103,4.0,0.0,0.5,1510
45,1,0.003583167213946581,4.0,1.0,0.5,1510
46,2,0.0036170841194689274,4.0,3.0,0.5,1510
47,3,0.003643583972007036,4.0,5.0,0.5,1510
48,4,0.0036674593575298786,4.0,7.0,0.5,1510
49,5,0.0036926250904798508,4.0,9.0,0.5,1510
50,6,0.003716542385518551,4.0,11.0,0.5,1510
51,7,0.0037406249903142452,4.0,13.0,0.5,1510
52,8,0.003760792315006256,4.0,14.0,0.5,1510
53,9,0.0037861252203583717,4.0,16.0,0.5,1510
54,10,0.0038109170272946358,4.0,18.0,0.5,1510
55,0,0.00011704210191965103,4.0,0.0,0.75,1510
56,1,0.003583167213946581,4.0,1.0,0.75,1510
57,2,0.0036170841194689274,4.0,3.0,0.75,1510
58,3,0.003643583972007036,4.0,5.0,0.75,1510
59,4,0.0036674593575298786,4.0,7.0,0.75,1510
60,5,0.0036926250904798508,4.0,9.0,0.75,1510
61,6,0.003716542385518551,4.0,11.0,0.75,1510
62,7,0.0037406249903142452,4.0,13.0,0.75,1510
63,8,0.003760792315006256,4.0,14.0,0.75,1510
64,9,0.0037861252203583717,4.0,16.0,0.75,1510
65,10,0.0038109170272946358,4.0,18.0,0.75,1510
66,0,0.00011704210191965103,4.0,0.0,1,1510
67,1,0.003583167213946581,4.0,1.0,1,1510
68,2,0.0036170841194689274,4.0,3.0,1,1510
69,3,0.003643583972007036,4.0,5.0,1,1510
70,4,0.0036674593575298786,4.0,7.0,1,1510
71,5,0.0036926250904798508,4.0,9.0,1,1510
72,6,0.003716542385518551,4.0,11.0,1,1510
73,7,0.0037406249903142452,4.0,13.0,1,1510
74,8,0.003760792315006256,4.0,14.0,1,1510
75,9,0.0037861252203583717,4.0,16.0,1,1510
76,10,0.0038109170272946358,4.0,18.0,1,1510
