,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.0002088751643896103,392.0,10.0,10,0.1,100
1,1,0.0019375840201973915,410.0,22.0,10,0.1,100
2,2,0.002214625012129545,434.0,34.0,10,0.1,100
3,3,0.002479666844010353,457.0,46.0,10,0.1,100
4,4,0.0027324589900672436,457.0,57.0,10,0.1,100
5,5,0.0029928339645266533,472.0,69.0,10,0.1,100
6,6,0.003250749781727791,472.0,80.0,10,0.1,100
7,7,0.0035162921994924545,508.0,92.0,10,0.1,100
8,8,0.0037749591283500195,508.0,103.0,10,0.1,100
9,9,0.004036374855786562,508.0,114.0,10,0.1,100
10,10,0.004293583799153566,508.0,125.0,10,0.1,100
11,0,0.0002088751643896103,392.0,10.0,10,0.2,100
12,1,0.0019375840201973915,410.0,22.0,10,0.2,100
13,2,0.002214625012129545,434.0,34.0,10,0.2,100
14,3,0.002479666844010353,457.0,46.0,10,0.2,100
15,4,0.0027324589900672436,457.0,57.0,10,0.2,100
16,5,0.0029928339645266533,495.0,69.0,10,0.2,100
17,6,0.003250749781727791,495.0,80.0,10,0.2,100
18,7,0.0035162921994924545,495.0,91.0,10,0.2,100
19,8,0.0037749591283500195,506.0,103.0,10,0.2,100
20,9,0.004036374855786562,506.0,114.0,10,0.2,100
21,10,0.004293583799153566,529.0,126.0,10,0.2,100
22,0,0.0002088751643896103,392.0,10.0,10,0.5,100
23,1,0.0019375840201973915,410.0,22.0,10,0.5,100
24,2,0.002214625012129545,428.0,34.0,10,0.5,100
25,3,0.002479666844010353,428.0,45.0,10,0.5,100
26,4,0.0027324589900672436,428.0,56.0,10,0.5,100
27,5,0.0029928339645266533,432.0,68.0,10,0.5,100
28,6,0.003250749781727791,452.0,80.0,10,0.5,100
29,7,0.0035162921994924545,452.0,91.0,10,0.5,100
30,8,0.0037749591283500195,463.0,103.0,10,0.5,100
31,9,0.004036374855786562,463.0,114.0,10,0.5,100
32,10,0.004293583799153566,487.0,126.0,10,0.5,100
33,0,0.0002088751643896103,392.0,10.0,10,0.75,100
34,1,0.0019375840201973915,410.0,22.0,10,0.75,100
35,2,0.002214625012129545,428.0,34.0,10,0.75,100
36,3,0.002479666844010353,428.0,45.0,10,0.75,100
37,4,0.0027324589900672436,428.0,56.0,10,0.75,100
38,5,0.0029928339645266533,429.0,68.0,10,0.75,100
39,6,0.003250749781727791,440.0,80.0,10,0.75,100
40,7,0.0035162921994924545,441.0,92.0,10,0.75,100
41,8,0.0037749591283500195,486.0,104.0,10,0.75,100
