,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,0,392.0,10,0.0002088751643896103,"[1, 4, 2, 4, 4, 3, 3, 1, 4, 1, 1, 3, 2, 0, 1, 1, 2, 2, 4, 4, 4, 0, 3, 3, 4]",10,0.1,100
1,10,508.0,125,0.004293583799153566,"[3, 4, 4, 4, 4, 4, 2, 2, 3, 4, 2, 1, 3, 4, 3, 3, 0, 3, 0, 3, 4, 4, 4, 4, 4]",10,0.1,100
2,0,392.0,10,0.00016058329492807388,"[1, 4, 2, 4, 4, 3, 3, 1, 4, 1, 1, 3, 2, 0, 1, 1, 2, 2, 4, 4, 4, 0, 3, 3, 4]",10,0.2,100
3,10,529.0,126,0.003985416144132614,"[3, 2, 1, 4, 0, 4, 2, 4, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 2, 1, 4, 3, 2, 4, 3]",10,0.2,100
4,0,392.0,10,0.0001698327250778675,"[1, 4, 2, 4, 4, 3, 3, 1, 4, 1, 1, 3, 2, 0, 1, 1, 2, 2, 4, 4, 4, 0, 3, 3, 4]",10,0.5,100
5,10,487.0,126,0.004177332855761051,"[3, 3, 2, 4, 2, 4, 2, 4, 2, 3, 0, 3, 1, 2, 3, 4, 2, 4, 3, 3, 3, 4, 2, 0, 4]",10,0.5,100
6,0,392.0,10,0.0001727077178657055,"[1, 4, 2, 4, 4, 3, 3, 1, 4, 1, 1, 3, 2, 0, 1, 1, 2, 2, 4, 4, 4, 0, 3, 3, 4]",10,0.75,100
7,10,503.0,127,0.004502832889556885,"[3, 4, 1, 1, 0, 4, 4, 4, 2, 1, 2, 3, 3, 4, 4, 4, 1, 4, 3, 1, 4, 3, 2, 0, 4]",10,0.75,100
8,0,392.0,10,0.00016337493434548378,"[1, 4, 2, 4, 4, 3, 3, 1, 4, 1, 1, 3, 2, 0, 1, 1, 2, 2, 4, 4, 4, 0, 3, 3, 4]",10,1.0,100
9,10,462.0,123,0.004360500257462263,"[4, 1, 1, 4, 4, 3, 3, 4, 2, 3, 2, 4, 1, 0, 2, 4, 4, 2, 2, 3, 3, 3, 4, 0, 4]",10,1.0,100
10,0,392.0,20,0.00027579162269830704,"[1, 4, 2, 4, 4, 3, 3, 1, 4, 1, 1, 3, 2, 0, 1, 1, 2, 2, 4, 4, 4, 0, 3, 3, 4]",20,0.1,100
