,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.00021333293989300728,392.0,10.0,True,10,0.1,100
1,1,0.005802625324577093,410.0,22.0,True,10,0.1,100
2,2,0.009988000150769949,410.0,33.0,True,10,0.1,100
3,3,0.01420845789834857,410.0,44.0,True,10,0.1,100
4,4,0.01840233290567994,410.0,55.0,True,10,0.1,100
5,5,0.022513083182275295,410.0,66.0,True,10,0.1,100
6,6,0.026721625123173,410.0,77.0,True,10,0.1,100
7,7,0.030827249865978956,410.0,88.0,True,10,0.1,100
8,8,0.034878000151365995,410.0,99.0,True,10,0.1,100
9,9,0.03889850014820695,410.0,110.0,True,10,0.1,100
10,10,0.042938750237226486,410.0,121.0,True,10,0.1,100
11,0,0.00021333293989300728,392.0,10.0,True,10,0.25,100
12,1,0.005802625324577093,410.0,22.0,True,10,0.25,100
13,2,0.009988000150769949,410.0,33.0,True,10,0.25,100
14,3,0.01420845789834857,410.0,44.0,True,10,0.25,100
15,4,0.01840233290567994,410.0,55.0,True,10,0.25,100
16,5,0.022513083182275295,410.0,66.0,True,10,0.25,100
17,6,0.026721625123173,410.0,77.0,True,10,0.25,100
18,7,0.030827249865978956,410.0,88.0,True,10,0.25,100
19,8,0.034878000151365995,410.0,99.0,True,10,0.25,100
20,9,0.03889850014820695,410.0,110.0,True,10,0.25,100
21,10,0.042938750237226486,410.0,121.0,True,10,0.25,100
22,0,0.00021333293989300728,392.0,10.0,True,10,0.5,100
23,1,0.005802625324577093,410.0,22.0,True,10,0.5,100
24,2,0.009988000150769949,410.0,33.0,True,10,0.5,100
25,3,0.01420845789834857,410.0,44.0,True,10,0.5,100
26,4,0.01840233290567994,410.0,55.0,True,10,0.5,100
27,5,0.022513083182275295,410.0,66.0,True,10,0.5,100
28,6,0.026721625123173,410.0,77.0,True,10,0.5,100
29,7,0.030827249865978956,410.0,88.0,True,10,0.5,100
30,8,0.034878000151365995,410.0,99.0,True,10,0.5,100
31,9,0.03889850014820695,410.0,110.0,True,10,0.5,100
32,10,0.042938750237226486,410.0,121.0,True,10,0.5,100
33,0,0.00021333293989300728,392.0,10.0,True,10,0.75,100
34,1,0.005802625324577093,401.0,22.0,True,10,0.75,100
35,2,0.009988000150769949,401.0,33.0,True,10,0.75,100
36,3,0.01420845789834857,401.0,44.0,True,10,0.75,100
37,4,0.01840233290567994,401.0,55.0,True,10,0.75,100
38,5,0.022513083182275295,401.0,66.0,True,10,0.75,100
39,6,0.026721625123173,401.0,77.0,True,10,0.75,100
40,7,0.030827249865978956,401.0,88.0,True,10,0.75,100
41,8,0.034878000151365995,401.0,99.0,True,10,0.75,100
42,9,0.03889850014820695,401.0,110.0,True,10,0.75,100
43,10,0.042938750237226486,401.0,121.0,True,10,0.75,100
44,0,0.00021333293989300728,392.0,10.0,True,10,0.9,100
45,1,0.005802625324577093,447.0,22.0,True,10,0.9,100
46,2,0.009988000150769949,459.0,34.0,True,10,0.9,100
47,3,0.01420845789834857,459.0,45.0,True,10,0.9,100
48,4,0.01840233290567994,459.0,56.0,True,10,0.9,100
