,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,392.0,10,0.00021333293989300728,"[1, 4, 2, 4, 4, 3, 3, 1, 4, 1, 1, 3, 2, 0, 1, 1, 2, 2, 4, 4, 4, 0, 3, 3, 4]",True,10,0.1,100
1,10,410.0,121,0.042938750237226486,"[3.0, 1.0, 2.0, 4.0, 0.0, 0.0, 2.0, 4.0, 2.0, 1.0, 2.0, 3.0, 1.0, 4.0, 3.0, 3.0, 0.0, 3.0, 2.0, 4.0, 4.0, 3.0, 4.0, 0.0, 3.0]",True,10,0.1,100
2,0,392.0,10,0.00017354171723127365,"[1, 4, 2, 4, 4, 3, 3, 1, 4, 1, 1, 3, 2, 0, 1, 1, 2, 2, 4, 4, 4, 0, 3, 3, 4]",True,10,0.25,100
3,10,410.0,121,0.042661457788199186,"[3.0, 1.0, 2.0, 4.0, 0.0, 0.0, 2.0, 4.0, 2.0, 1.0, 2.0, 3.0, 1.0, 4.0, 3.0, 3.0, 0.0, 3.0, 2.0, 4.0, 4.0, 3.0, 4.0, 0.0, 3.0]",True,10,0.25,100
4,0,392.0,10,0.00016999989748001099,"[1, 4, 2, 4, 4, 3, 3, 1, 4, 1, 1, 3, 2, 0, 1, 1, 2, 2, 4, 4, 4, 0, 3, 3, 4]",True,10,0.5,100
5,10,410.0,121,0.04325162526220083,"[3.0, 1.0, 2.0, 4.0, 0.0, 0.0, 2.0, 4.0, 2.0, 1.0, 2.0, 3.0, 1.0, 4.0, 3.0, 3.0, 0.0, 3.0, 2.0, 4.0, 4.0, 3.0, 4.0, 0.0, 3.0]",True,10,0.5,100
6,0,392.0,10,0.00016774982213974,"[1, 4, 2, 4, 4, 3, 3, 1, 4, 1, 1, 3, 2, 0, 1, 1, 2, 2, 4, 4, 4, 0, 3, 3, 4]",True,10,0.75,100
7,10,401.0,121,0.047209832817316055,"[4.0, 0.0, 2.0, 1.0, 3.0, 4.0, 0.0, 3.0, 3.0, 3.0, 3.0, 1.0, 0.0, 4.0, 4.0, 4.0, 1.0, 4.0, 0.0, 1.0, 1.0, 4.0, 2.0, 4.0, 4.0]",True,10,0.75,100
8,0,392.0,10,0.00016691721975803375,"[1, 4, 2, 4, 4, 3, 3, 1, 4, 1, 1, 3, 2, 0, 1, 1, 2, 2, 4, 4, 4, 0, 3, 3, 4]",True,10,0.9,100
9,10,459.0,122,0.052560875192284584,"[2.0, 2.0, 1.0, 4.0, 0.0, 4.0, 1.0, 3.0, 3.0, 3.0, 3.0, 1.0, 4.0, 4.0, 2.0, 2.0, 3.0, 2.0, 3.0, 1.0, 2.0, 4.0, 4.0, 4.0, 4.0]",True,10,0.9,100
10,0,392.0,20,0.00028737494722008705,"[1, 4, 2, 4, 4, 3, 3, 1, 4, 1, 1, 3, 2, 0, 1, 1, 2, 2, 4, 4, 4, 0, 3, 3, 4]",True,20,0.1,100
11,10,410.0,231,0.04447270790114999,"[3.0, 1.0, 2.0, 4.0, 0.0, 0.0, 2.0, 4.0, 2.0, 1.0, 2.0, 3.0, 1.0, 4.0, 3.0, 3.0, 0.0, 3.0, 2.0, 4.0, 4.0, 3.0, 4.0, 0.0, 3.0]",True,20,0.1,100
12,0,392.0,20,0.00028791604563593864,"[1, 4, 2, 4, 4, 3, 3, 1, 4, 1, 1, 3, 2, 0, 1, 1, 2, 2, 4, 4, 4, 0, 3, 3, 4]",True,20,0.25,100
13,10,456.0,231,0.04620066611096263,"[3.0, 2.0, 3.0, 3.0, 0.0, 3.0, 3.0, 4.0, 4.0, 0.0, 4.0, 2.0, 3.0, 4.0, 3.0, 1.0, 4.0, 2.0, 4.0, 3.0, 3.0, 0.0, 4.0, 2.0, 1.0]",True,20,0.25,100
14,0,392.0,20,0.0002825409173965454,"[1, 4, 2, 4, 4, 3, 3, 1, 4, 1, 1, 3, 2, 0, 1, 1, 2, 2, 4, 4, 4, 0, 3, 3, 4]",True,20,0.5,100
15,10,481.0,232,0.05388987483456731,"[4.0, 3.0, 3.0, 1.0, 2.0, 4.0, 3.0, 2.0, 3.0, 1.0, 1.0, 4.0, 3.0, 2.0, 4.0, 4.0, 1.0, 4.0, 0.0, 3.0, 3.0, 4.0, 3.0, 4.0, 3.0]",True,20,0.5,100
16,0,392.0,20,0.0002827080897986889,"[1, 4, 2, 4, 4, 3, 3, 1, 4, 1, 1, 3, 2, 0, 1, 1, 2, 2, 4, 4, 4, 0, 3, 3, 4]",True,20,0.75,100
17,10,501.0,231,0.056135416962206364,"[3.0, 3.0, 4.0, 4.0, 0.0, 1.0, 2.0, 4.0, 4.0, 3.0, 1.0, 0.0, 1.0, 4.0, 3.0, 3.0, 4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 4.0, 0.0, 2.0]",True,20,0.75,100
18,0,392.0,20,0.0002831253223121166,"[1, 4, 2, 4, 4, 3, 3, 1, 4, 1, 1, 3, 2, 0, 1, 1, 2, 2, 4, 4, 4, 0, 3, 3, 4]",True,20,0.9,100
19,10,481.0,231,0.05936587508767843,"[3.0, 2.0, 3.0, 2.0, 0.0, 4.0, 2.0, 4.0, 2.0, 0.0, 4.0, 2.0, 3.0, 4.0, 4.0, 3.0, 4.0, 4.0, 4.0, 1.0, 1.0, 2.0, 4.0, 2.0, 3.0]",True,20,0.9,100
20,0,392.0,50,0.000622833613306284,"[1, 4, 2, 4, 4, 3, 3, 1, 4, 1, 1, 3, 2, 0, 1, 1, 2, 2, 4, 4, 4, 0, 3, 3, 4]",True,50,0.1,100
21,10,469.0,561,0.05355666670948267,"[0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 3.0, 4.0, 0.0, 4.0, 4.0, 4.0, 0.0, 4.0, 1.0, 3.0, 3.0, 2.0, 2.0, 0.0, 4.0, 2.0, 4.0]",True,50,0.1,100
