,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0,392.0,0,5.762465298175812e-05,"[1, 4, 2, 4, 4, 3, 3, 1, 4, 1, 1, 3, 2, 0, 1, 1, 2, 2, 4, 4, 4, 0, 3, 3, 4]",0,100,0
1,10,436.0,16,0.0016114157624542713,"[1, 4, 3, 4, 4, 4, 3, 1, 4, 1, 1, 3, 3, 1, 1, 1, 3, 3, 4, 4, 4, 0, 3, 3, 4]",0,100,0
2,0,392.0,0,4.4292304664850235e-05,"[1, 4, 2, 4, 4, 3, 3, 1, 4, 1, 1, 3, 2, 0, 1, 1, 2, 2, 4, 4, 4, 0, 3, 3, 4]",25,100,0
3,10,436.0,16,0.0013163341209292412,"[1, 4, 3, 4, 4, 4, 3, 1, 4, 1, 1, 3, 3, 1, 1, 1, 3, 3, 4, 4, 4, 0, 3, 3, 4]",25,100,0
4,0,374.0,16,0.0024499171413481236,"[3, 0, 3, 2, 4, 4, 3, 4, 0, 3, 4, 0, 1, 2, 3, 3, 0, 3, 1, 0, 3, 1, 3, 0, 4]",25,100,1
5,10,404.0,28,0.0037226672284305096,"[3, 0, 3, 2, 4, 4, 3, 4, 2, 3, 4, 0, 1, 2, 3, 3, 0, 3, 1, 4, 3, 1, 3, 0, 4]",25,100,1
6,0,355.0,28,0.004875750280916691,"[1, 3, 3, 0, 1, 0, 4, 4, 4, 1, 4, 0, 1, 1, 4, 2, 4, 4, 2, 2, 0, 2, 0, 4, 1]",25,100,2
7,10,407.0,43,0.006221084389835596,"[1, 3, 3, 4, 2, 0, 4, 4, 4, 1, 4, 2, 1, 1, 4, 2, 4, 4, 3, 4, 0, 2, 0, 4, 1]",25,100,2
8,0,425.0,43,0.007429792080074549,"[4, 4, 4, 2, 2, 1, 4, 3, 3, 2, 4, 3, 1, 0, 3, 2, 2, 0, 4, 2, 3, 3, 3, 0, 3]",25,100,3
9,10,445.0,55,0.00888479221612215,"[4, 4, 4, 2, 2, 1, 4, 3, 3, 4, 4, 3, 1, 2, 3, 2, 2, 0, 4, 2, 3, 3, 3, 0, 3]",25,100,3
10,0,265.0,55,0.010199042037129402,"[1, 2, 3, 2, 2, 2, 2, 2, 0, 2, 4, 2, 2, 2, 1, 1, 4, 0, 1, 1, 3, 1, 0, 0, 1]",25,100,4
