,Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,0,5.895877256989479e-05,392.0,0.0,0.001,100
1,1,0.0016319169662892818,402.0,2.0,0.001,100
2,2,0.0016644997522234917,412.0,4.0,0.001,100
3,3,0.0016920417547225952,416.0,6.0,0.001,100
4,4,0.0017137499526143074,416.0,7.0,0.001,100
5,5,0.0017405841499567032,423.0,9.0,0.001,100
6,6,0.0017665838822722435,431.0,11.0,0.001,100
7,7,0.0017860839143395424,431.0,12.0,0.001,100
8,8,0.001805041916668415,431.0,13.0,0.001,100
9,9,0.0018245000392198563,431.0,14.0,0.001,100
10,10,0.0018507498316466808,455.0,16.0,0.001,100
11,0,5.895877256989479e-05,392.0,0.0,0.01,100
12,1,0.0016319169662892818,402.0,2.0,0.01,100
13,2,0.0016644997522234917,412.0,4.0,0.01,100
14,3,0.0016920417547225952,416.0,6.0,0.01,100
15,4,0.0017137499526143074,416.0,7.0,0.01,100
16,5,0.0017405841499567032,423.0,9.0,0.01,100
17,6,0.0017665838822722435,431.0,11.0,0.01,100
18,7,0.0017860839143395424,431.0,12.0,0.01,100
19,8,0.001805041916668415,431.0,13.0,0.01,100
20,9,0.0018245000392198563,431.0,14.0,0.01,100
21,10,0.0018507498316466808,455.0,16.0,0.01,100
22,0,5.895877256989479e-05,392.0,0.0,0.1,100
23,1,0.0016319169662892818,402.0,2.0,0.1,100
24,2,0.0016644997522234917,412.0,4.0,0.1,100
25,3,0.0016920417547225952,416.0,6.0,0.1,100
26,4,0.0017137499526143074,416.0,7.0,0.1,100
27,5,0.0017405841499567032,423.0,9.0,0.1,100
28,6,0.0017665838822722435,431.0,11.0,0.1,100
29,7,0.0017860839143395424,431.0,12.0,0.1,100
30,8,0.001805041916668415,431.0,13.0,0.1,100
31,9,0.0018245000392198563,431.0,14.0,0.1,100
32,10,0.0018507498316466808,455.0,16.0,0.1,100
33,0,5.895877256989479e-05,392.0,0.0,0.25,100
34,1,0.0016319169662892818,402.0,2.0,0.25,100
35,2,0.0016644997522234917,412.0,4.0,0.25,100
36,3,0.0016920417547225952,416.0,6.0,0.25,100
37,4,0.0017137499526143074,416.0,7.0,0.25,100
38,5,0.0017405841499567032,423.0,9.0,0.25,100
39,6,0.0017665838822722435,431.0,11.0,0.25,100
40,7,0.0017860839143395424,431.0,12.0,0.25,100
41,8,0.001805041916668415,431.0,13.0,0.25,100
42,9,0.0018245000392198563,431.0,14.0,0.25,100
43,10,0.0018507498316466808,455.0,16.0,0.25,100
44,0,5.895877256989479e-05,392.0,0.0,0.5,100
45,1,0.0016319169662892818,402.0,2.0,0.5,100
46,2,0.0016644997522234917,412.0,4.0,0.5,100
47,3,0.0016920417547225952,416.0,6.0,0.5,100
48,4,0.0017137499526143074,416.0,7.0,0.5,100
49,5,0.0017405841499567032,423.0,9.0,0.5,100
50,6,0.0017665838822722435,431.0,11.0,0.5,100
51,7,0.0017860839143395424,431.0,12.0,0.5,100
52,8,0.001805041916668415,431.0,13.0,0.5,100
53,9,0.0018245000392198563,431.0,14.0,0.5,100
54,10,0.0018507498316466808,455.0,16.0,0.5,100
55,0,5.895877256989479e-05,392.0,0.0,0.75,100
56,1,0.0016319169662892818,402.0,2.0,0.75,100
57,2,0.0016644997522234917,412.0,4.0,0.75,100
58,3,0.0016920417547225952,416.0,6.0,0.75,100
59,4,0.0017137499526143074,416.0,7.0,0.75,100
60,5,0.0017405841499567032,423.0,9.0,0.75,100
61,6,0.0017665838822722435,431.0,11.0,0.75,100
62,7,0.0017860839143395424,431.0,12.0,0.75,100
63,8,0.001805041916668415,431.0,13.0,0.75,100
64,9,0.0018245000392198563,431.0,14.0,0.75,100
65,10,0.0018507498316466808,455.0,16.0,0.75,100
66,0,5.895877256989479e-05,392.0,0.0,1,100
67,1,0.0016319169662892818,402.0,2.0,1,100
68,2,0.0016644997522234917,412.0,4.0,1,100
69,3,0.0016920417547225952,416.0,6.0,1,100
70,4,0.0017137499526143074,416.0,7.0,1,100
71,5,0.0017405841499567032,423.0,9.0,1,100
72,6,0.0017665838822722435,431.0,11.0,1,100
73,7,0.0017860839143395424,431.0,12.0,1,100
74,8,0.001805041916668415,431.0,13.0,1,100
75,9,0.0018245000392198563,431.0,14.0,1,100
76,10,0.0018507498316466808,455.0,16.0,1,100
