,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,392.0,0,5.895877256989479e-05,"[1, 4, 2, 4, 4, 3, 3, 1, 4, 1, 1, 3, 2, 0, 1, 1, 2, 2, 4, 4, 4, 0, 3, 3, 4]",geometric,0.001,0.99,0.001,0.001,0.001,100
1,10,455.0,16,0.0018507498316466808,"[1, 4, 3, 4, 4, 4, 3, 1, 4, 1, 1, 3, 3, 0, 1, 1, 3, 3, 4, 4, 4, 3, 3, 3, 4]",geometric,0.001,0.99,0.001,0.001,0.001,100
2,0,392.0,0,4.287483170628548e-05,"[1, 4, 2, 4, 4, 3, 3, 1, 4, 1, 1, 3, 2, 0, 1, 1, 2, 2, 4, 4, 4, 0, 3, 3, 4]",geometric,0.01,0.99,0.001,0.009999995690936346,0.01,100
3,10,455.0,16,0.0014955829828977585,"[1, 4, 3, 4, 4, 4, 3, 1, 4, 1, 1, 3, 3, 0, 1, 1, 3, 3, 4, 4, 4, 3, 3, 3, 4]",geometric,0.01,0.99,0.001,0.009999849690016917,0.01,100
4,0,392.0,0,3.99579294025898e-05,"[1, 4, 2, 4, 4, 3, 3, 1, 4, 1, 1, 3, 2, 0, 1, 1, 2, 2, 4, 4, 4, 0, 3, 3, 4]",geometric,0.1,0.99,0.001,0.09999995984094702,0.1,100
5,10,455.0,16,0.0015048328787088394,"[1, 4, 3, 4, 4, 4, 3, 1, 4, 1, 1, 3, 3, 0, 1, 1, 3, 3, 4, 4, 4, 3, 3, 3, 4]",geometric,0.1,0.99,0.001,0.09999848760385338,0.1,100
6,0,392.0,0,4.2208004742860794e-05,"[1, 4, 2, 4, 4, 3, 3, 1, 4, 1, 1, 3, 2, 0, 1, 1, 2, 2, 4, 4, 4, 0, 3, 3, 4]",geometric,0.25,0.99,0.001,0.24999989394886665,0.25,100
7,10,455.0,16,0.0015991670079529285,"[1, 4, 3, 4, 4, 4, 3, 1, 4, 1, 1, 3, 3, 0, 1, 1, 3, 3, 4, 4, 4, 3, 3, 3, 4]",geometric,0.25,0.99,0.001,0.2499959819909102,0.25,100
8,0,392.0,0,4.449998959898949e-05,"[1, 4, 2, 4, 4, 3, 3, 1, 4, 1, 1, 3, 2, 0, 1, 1, 2, 2, 4, 4, 4, 0, 3, 3, 4]",geometric,0.5,0.99,0.001,0.49999977638012955,0.5,100
9,10,455.0,16,0.0016609174199402332,"[1, 4, 3, 4, 4, 4, 3, 1, 4, 1, 1, 3, 3, 0, 1, 1, 3, 3, 4, 4, 4, 3, 3, 3, 4]",geometric,0.5,0.99,0.001,0.49999165368071413,0.5,100
10,0,392.0,0,5.5042095482349396e-05,"[1, 4, 2, 4, 4, 3, 3, 1, 4, 1, 1, 3, 2, 0, 1, 1, 2, 2, 4, 4, 4, 0, 3, 3, 4]",geometric,0.75,0.99,0.001,0.7499995851064555,0.75,100
11,10,455.0,16,0.001962125301361084,"[1, 4, 3, 4, 4, 4, 3, 1, 4, 1, 1, 3, 3, 0, 1, 1, 3, 3, 4, 4, 4, 3, 3, 3, 4]",geometric,0.75,0.99,0.001,0.7499852101321297,0.75,100
12,0,392.0,0,4.429183900356293e-05,"[1, 4, 2, 4, 4, 3, 3, 1, 4, 1, 1, 3, 2, 0, 1, 1, 2, 2, 4, 4, 4, 0, 3, 3, 4]",geometric,1.0,0.99,0.001,0.9999995548522416,1,100
13,10,455.0,16,0.0018039168789982796,"[1, 4, 3, 4, 4, 4, 3, 1, 4, 1, 1, 3, 3, 0, 1, 1, 3, 3, 4, 4, 4, 3, 3, 3, 4]",geometric,1.0,0.99,0.001,0.9999818701938612,1,100
