,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.00018629198893904686,13.0,10.0,10,0.1,500
1,1,0.002343208994716406,14.0,22.0,10,0.1,500
2,2,0.0025731250643730164,15.0,34.0,10,0.1,500
3,3,0.0027912496589124203,15.0,45.0,10,0.1,500
4,4,0.003016625065356493,15.0,56.0,10,0.1,500
5,5,0.003234749659895897,16.0,68.0,10,0.1,500
6,6,0.003454874735325575,16.0,79.0,10,0.1,500
7,7,0.003682916983962059,16.0,90.0,10,0.1,500
8,8,0.003900791984051466,17.0,102.0,10,0.1,500
9,9,0.004117792006582022,17.0,113.0,10,0.1,500
10,10,0.004348875023424625,17.0,124.0,10,0.1,500
11,0,0.00018629198893904686,13.0,10.0,10,0.2,500
12,1,0.002343208994716406,14.0,22.0,10,0.2,500
13,2,0.0025731250643730164,15.0,34.0,10,0.2,500
14,3,0.0027912496589124203,15.0,45.0,10,0.2,500
15,4,0.003016625065356493,15.0,56.0,10,0.2,500
16,5,0.003234749659895897,16.0,68.0,10,0.2,500
17,6,0.003454874735325575,17.0,80.0,10,0.2,500
18,7,0.003682916983962059,18.0,92.0,10,0.2,500
19,8,0.003900791984051466,18.0,103.0,10,0.2,500
20,9,0.004117792006582022,18.0,114.0,10,0.2,500
21,10,0.004348875023424625,18.0,125.0,10,0.2,500
22,0,0.00018629198893904686,13.0,10.0,10,0.5,500
23,1,0.002343208994716406,14.0,22.0,10,0.5,500
24,2,0.0025731250643730164,14.0,33.0,10,0.5,500
25,3,0.0027912496589124203,14.0,44.0,10,0.5,500
26,4,0.003016625065356493,15.0,56.0,10,0.5,500
27,5,0.003234749659895897,15.0,67.0,10,0.5,500
28,6,0.003454874735325575,15.0,78.0,10,0.5,500
29,7,0.003682916983962059,16.0,90.0,10,0.5,500
30,8,0.003900791984051466,16.0,101.0,10,0.5,500
31,9,0.004117792006582022,16.0,112.0,10,0.5,500
32,10,0.004348875023424625,17.0,124.0,10,0.5,500
33,0,0.00018629198893904686,13.0,10.0,10,0.75,500
34,1,0.002343208994716406,14.0,22.0,10,0.75,500
35,2,0.0025731250643730164,14.0,33.0,10,0.75,500
36,3,0.0027912496589124203,14.0,44.0,10,0.75,500
37,4,0.003016625065356493,14.0,55.0,10,0.75,500
38,5,0.003234749659895897,15.0,67.0,10,0.75,500
39,6,0.003454874735325575,15.0,78.0,10,0.75,500
40,7,0.003682916983962059,15.0,89.0,10,0.75,500
41,8,0.003900791984051466,16.0,101.0,10,0.75,500
42,9,0.004117792006582022,16.0,112.0,10,0.75,500
43,10,0.004348875023424625,16.0,123.0,10,0.75,500
44,0,0.00018629198893904686,13.0,10.0,10,1.0,500
45,1,0.002343208994716406,14.0,22.0,10,1.0,500
46,2,0.0025731250643730164,14.0,33.0,10,1.0,500
47,3,0.0027912496589124203,17.0,45.0,10,1.0,500
48,4,0.003016625065356493,17.0,56.0,10,1.0,500
49,5,0.003234749659895897,17.0,67.0,10,1.0,500
50,6,0.003454874735325575,17.0,78.0,10,1.0,500
51,7,0.003682916983962059,17.0,89.0,10,1.0,500
52,8,0.003900791984051466,17.0,100.0,10,1.0,500
53,9,0.004117792006582022,17.0,111.0,10,1.0,500
