,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,0,13.0,10,0.00018629198893904686,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",10,0.1,500
1,10,17.0,124,0.004348875023424625,"[1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10,0.1,500
2,0,13.0,10,0.00012691598385572433,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",10,0.2,500
3,10,18.0,125,0.0035373750142753124,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10,0.2,500
4,0,13.0,10,0.00011949986219406128,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",10,0.5,500
5,10,17.0,124,0.003604582976549864,"[0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10,0.5,500
6,0,13.0,10,0.00012716744095087051,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",10,0.75,500
7,10,16.0,123,0.00395675003528595,"[1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0]",10,0.75,500
8,0,13.0,10,0.00012425007298588753,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",10,1.0,500
9,10,18.0,123,0.0038691661320626736,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10,1.0,500
10,0,13.0,20,0.00020004203543066978,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",20,0.1,500
11,10,19.0,235,0.005895083770155907,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",20,0.1,500
12,0,13.0,20,0.00021291710436344147,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",20,0.2,500
13,10,19.0,235,0.006344708148390055,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",20,0.2,500
14,0,13.0,20,0.00021341675892472267,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",20,0.5,500
15,10,19.0,232,0.007317416835576296,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",20,0.5,500
16,0,13.0,20,0.00019958289340138435,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",20,0.75,500
17,10,19.0,234,0.00706387497484684,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",20,0.75,500
18,0,13.0,20,0.00021925009787082672,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",20,1.0,500
19,10,19.0,236,0.007565000094473362,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]",20,1.0,500
20,0,13.0,50,0.0004884172230958939,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",50,0.1,500
21,10,19.0,564,0.013889250345528126,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",50,0.1,500
