,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.00015583261847496033,13.0,10.0,True,10,0.1,500
1,1,0.0036160419695079327,14.0,22.0,True,10,0.1,500
2,2,0.0053331670351326466,14.0,33.0,True,10,0.1,500
3,3,0.007114499807357788,14.0,44.0,True,10,0.1,500
4,4,0.008892166893929243,14.0,55.0,True,10,0.1,500
5,5,0.010607832577079535,14.0,66.0,True,10,0.1,500
6,6,0.012289749924093485,14.0,77.0,True,10,0.1,500
7,7,0.014058916829526424,14.0,88.0,True,10,0.1,500
8,8,0.01586658274754882,14.0,99.0,True,10,0.1,500
9,9,0.017557582817971706,14.0,110.0,True,10,0.1,500
10,10,0.019226749893277884,14.0,121.0,True,10,0.1,500
11,0,0.00015583261847496033,13.0,10.0,True,10,0.25,500
12,1,0.0036160419695079327,14.0,22.0,True,10,0.25,500
13,2,0.0053331670351326466,14.0,33.0,True,10,0.25,500
14,3,0.007114499807357788,14.0,44.0,True,10,0.25,500
15,4,0.008892166893929243,14.0,55.0,True,10,0.25,500
16,5,0.010607832577079535,14.0,66.0,True,10,0.25,500
17,6,0.012289749924093485,14.0,77.0,True,10,0.25,500
18,7,0.014058916829526424,14.0,88.0,True,10,0.25,500
19,8,0.01586658274754882,14.0,99.0,True,10,0.25,500
20,9,0.017557582817971706,14.0,110.0,True,10,0.25,500
21,10,0.019226749893277884,14.0,121.0,True,10,0.25,500
22,0,0.00015583261847496033,13.0,10.0,True,10,0.5,500
23,1,0.0036160419695079327,13.0,21.0,True,10,0.5,500
24,2,0.0053331670351326466,13.0,32.0,True,10,0.5,500
25,3,0.007114499807357788,13.0,43.0,True,10,0.5,500
26,4,0.008892166893929243,13.0,54.0,True,10,0.5,500
27,5,0.010607832577079535,13.0,65.0,True,10,0.5,500
28,6,0.012289749924093485,14.0,77.0,True,10,0.5,500
29,7,0.014058916829526424,15.0,89.0,True,10,0.5,500
30,8,0.01586658274754882,15.0,100.0,True,10,0.5,500
31,9,0.017557582817971706,15.0,111.0,True,10,0.5,500
32,10,0.019226749893277884,15.0,122.0,True,10,0.5,500
33,0,0.00015583261847496033,13.0,10.0,True,10,0.75,500
34,1,0.0036160419695079327,13.0,21.0,True,10,0.75,500
35,2,0.0053331670351326466,13.0,32.0,True,10,0.75,500
36,3,0.007114499807357788,13.0,43.0,True,10,0.75,500
37,4,0.008892166893929243,13.0,54.0,True,10,0.75,500
38,5,0.010607832577079535,13.0,65.0,True,10,0.75,500
39,6,0.012289749924093485,13.0,76.0,True,10,0.75,500
40,7,0.014058916829526424,13.0,87.0,True,10,0.75,500
41,8,0.01586658274754882,13.0,98.0,True,10,0.75,500
42,9,0.017557582817971706,13.0,109.0,True,10,0.75,500
43,10,0.019226749893277884,13.0,120.0,True,10,0.75,500
44,0,0.00015583261847496033,13.0,10.0,True,10,0.9,500
45,1,0.0036160419695079327,15.0,22.0,True,10,0.9,500
46,2,0.0053331670351326466,15.0,33.0,True,10,0.9,500
47,3,0.007114499807357788,15.0,44.0,True,10,0.9,500
48,4,0.008892166893929243,15.0,55.0,True,10,0.9,500
49,5,0.010607832577079535,15.0,66.0,True,10,0.9,500
50,6,0.012289749924093485,15.0,77.0,True,10,0.9,500
51,7,0.014058916829526424,15.0,88.0,True,10,0.9,500
52,8,0.01586658274754882,15.0,99.0,True,10,0.9,500
53,9,0.017557582817971706,15.0,110.0,True,10,0.9,500
54,10,0.019226749893277884,15.0,121.0,True,10,0.9,500
55,0,0.00015583261847496033,13.0,20.0,True,20,0.1,500
56,1,0.0036160419695079327,17.0,42.0,True,20,0.1,500
57,2,0.0053331670351326466,17.0,63.0,True,20,0.1,500
58,3,0.007114499807357788,17.0,84.0,True,20,0.1,500
59,4,0.008892166893929243,17.0,105.0,True,20,0.1,500
60,5,0.010607832577079535,17.0,126.0,True,20,0.1,500
61,6,0.012289749924093485,17.0,147.0,True,20,0.1,500
62,7,0.014058916829526424,17.0,168.0,True,20,0.1,500
63,8,0.01586658274754882,17.0,189.0,True,20,0.1,500
64,9,0.017557582817971706,17.0,210.0,True,20,0.1,500
65,10,0.019226749893277884,17.0,231.0,True,20,0.1,500
66,0,0.00015583261847496033,13.0,20.0,True,20,0.25,500
67,1,0.0036160419695079327,17.0,42.0,True,20,0.25,500
