,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
0,0,7.279170677065849e-05,13.0,0.0,0,500,0
1,1,0.0016319998539984226,13.0,1.0,0,500,0
2,2,0.001645917072892189,13.0,2.0,0,500,0
3,3,0.001660624984651804,14.0,4.0,0,500,0
4,4,0.0016706250607967377,14.0,5.0,0,500,0
5,5,0.001680999994277954,14.0,6.0,0,500,0
6,6,0.0016944590024650097,15.0,8.0,0,500,0
7,7,0.0017042919062078,15.0,9.0,0,500,0
8,8,0.001717583741992712,16.0,11.0,0,500,0
9,9,0.0017282087355852127,16.0,12.0,0,500,0
10,10,0.0017383340746164322,16.0,13.0,0,500,0
11,0,7.279170677065849e-05,13.0,0.0,25,500,0
12,1,0.0016319998539984226,13.0,1.0,25,500,0
13,2,0.001645917072892189,13.0,2.0,25,500,0
14,3,0.001660624984651804,14.0,4.0,25,500,0
15,4,0.0016706250607967377,14.0,5.0,25,500,0
16,5,0.001680999994277954,14.0,6.0,25,500,0
17,6,0.0016944590024650097,15.0,8.0,25,500,0
18,7,0.0017042919062078,15.0,9.0,25,500,0
19,8,0.001717583741992712,16.0,11.0,25,500,0
20,9,0.0017282087355852127,16.0,12.0,25,500,0
21,10,0.0017383340746164322,16.0,13.0,25,500,0
22,1,0.0016319998539984226,10.0,15.0,25,500,1
23,2,0.001645917072892189,10.0,16.0,25,500,1
24,3,0.001660624984651804,10.0,17.0,25,500,1
25,4,0.0016706250607967377,10.0,18.0,25,500,1
26,5,0.001680999994277954,11.0,20.0,25,500,1
27,6,0.0016944590024650097,12.0,22.0,25,500,1
28,7,0.0017042919062078,13.0,24.0,25,500,1
29,8,0.001717583741992712,13.0,25.0,25,500,1
30,9,0.0017282087355852127,13.0,26.0,25,500,1
31,10,0.0017383340746164322,13.0,27.0,25,500,1
32,1,0.0016319998539984226,14.0,28.0,25,500,2
33,2,0.001645917072892189,15.0,30.0,25,500,2
34,3,0.001660624984651804,15.0,31.0,25,500,2
35,4,0.0016706250607967377,16.0,33.0,25,500,2
36,5,0.001680999994277954,17.0,35.0,25,500,2
37,6,0.0016944590024650097,17.0,36.0,25,500,2
38,7,0.0017042919062078,17.0,37.0,25,500,2
39,8,0.001717583741992712,17.0,38.0,25,500,2
40,9,0.0017282087355852127,17.0,39.0,25,500,2
41,10,0.0017383340746164322,18.0,41.0,25,500,2
42,1,0.0016319998539984226,13.0,42.0,25,500,3
43,2,0.001645917072892189,13.0,43.0,25,500,3
44,3,0.001660624984651804,13.0,44.0,25,500,3
45,4,0.0016706250607967377,13.0,45.0,25,500,3
46,5,0.001680999994277954,14.0,47.0,25,500,3
47,6,0.0016944590024650097,15.0,49.0,25,500,3
48,7,0.0017042919062078,15.0,50.0,25,500,3
49,8,0.001717583741992712,15.0,51.0,25,500,3
50,9,0.0017282087355852127,16.0,53.0,25,500,3
51,10,0.0017383340746164322,16.0,54.0,25,500,3
52,1,0.0016319998539984226,6.0,56.0,25,500,4
53,2,0.001645917072892189,7.0,58.0,25,500,4
54,3,0.001660624984651804,7.0,59.0,25,500,4
55,4,0.0016706250607967377,7.0,60.0,25,500,4
56,5,0.001680999994277954,8.0,62.0,25,500,4
57,6,0.0016944590024650097,9.0,64.0,25,500,4
