,Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,0,5.5625103414058685e-05,13.0,0.0,0.001,500
1,1,0.0016519171185791492,13.0,1.0,0.001,500
2,2,0.0016696667298674583,13.0,2.0,0.001,500
3,3,0.0016832919791340828,13.0,3.0,0.001,500
4,4,0.0017047091387212276,14.0,5.0,0.001,500
5,5,0.0017184587195515633,14.0,6.0,0.001,500
6,6,0.0017364169470965862,15.0,8.0,0.001,500
7,7,0.0017534997314214706,16.0,10.0,0.001,500
8,8,0.0017701671458780766,17.0,12.0,0.001,500
9,9,0.0017836247570812702,17.0,13.0,0.001,500
10,10,0.001800833735615015,18.0,15.0,0.001,500
11,0,5.5625103414058685e-05,13.0,0.0,0.001,500
12,1,0.0016519171185791492,13.0,1.0,0.001,500
13,2,0.0016696667298674583,13.0,2.0,0.001,500
14,3,0.0016832919791340828,13.0,3.0,0.001,500
15,4,0.0017047091387212276,14.0,5.0,0.001,500
16,5,0.0017184587195515633,14.0,6.0,0.001,500
17,6,0.0017364169470965862,15.0,8.0,0.001,500
18,7,0.0017534997314214706,16.0,10.0,0.001,500
19,8,0.0017701671458780766,17.0,12.0,0.001,500
20,9,0.0017836247570812702,17.0,13.0,0.001,500
21,10,0.001800833735615015,18.0,15.0,0.001,500
22,0,5.5625103414058685e-05,13.0,0.0,0.001,500
23,1,0.0016519171185791492,13.0,1.0,0.001,500
24,2,0.0016696667298674583,13.0,2.0,0.001,500
25,3,0.0016832919791340828,13.0,3.0,0.001,500
26,4,0.0017047091387212276,14.0,5.0,0.001,500
27,5,0.0017184587195515633,14.0,6.0,0.001,500
28,6,0.0017364169470965862,15.0,8.0,0.001,500
29,7,0.0017534997314214706,16.0,10.0,0.001,500
30,8,0.0017701671458780766,17.0,12.0,0.001,500
31,9,0.0017836247570812702,17.0,13.0,0.001,500
32,10,0.001800833735615015,18.0,15.0,0.001,500
33,0,5.5625103414058685e-05,13.0,0.0,0.01,500
34,1,0.0016519171185791492,13.0,1.0,0.01,500
35,2,0.0016696667298674583,13.0,2.0,0.01,500
36,3,0.0016832919791340828,13.0,3.0,0.01,500
37,4,0.0017047091387212276,14.0,5.0,0.01,500
38,5,0.0017184587195515633,14.0,6.0,0.01,500
39,6,0.0017364169470965862,15.0,8.0,0.01,500
40,7,0.0017534997314214706,16.0,10.0,0.01,500
41,8,0.0017701671458780766,17.0,12.0,0.01,500
42,9,0.0017836247570812702,17.0,13.0,0.01,500
43,10,0.001800833735615015,18.0,15.0,0.01,500
44,0,5.5625103414058685e-05,13.0,0.0,0.01,500
45,1,0.0016519171185791492,13.0,1.0,0.01,500
46,2,0.0016696667298674583,13.0,2.0,0.01,500
47,3,0.0016832919791340828,13.0,3.0,0.01,500
48,4,0.0017047091387212276,14.0,5.0,0.01,500
49,5,0.0017184587195515633,14.0,6.0,0.01,500
50,6,0.0017364169470965862,15.0,8.0,0.01,500
51,7,0.0017534997314214706,16.0,10.0,0.01,500
52,8,0.0017701671458780766,17.0,12.0,0.01,500
53,9,0.0017836247570812702,17.0,13.0,0.01,500
54,10,0.001800833735615015,18.0,15.0,0.01,500
55,0,5.5625103414058685e-05,13.0,0.0,0.01,500
56,1,0.0016519171185791492,13.0,1.0,0.01,500
57,2,0.0016696667298674583,13.0,2.0,0.01,500
58,3,0.0016832919791340828,13.0,3.0,0.01,500
59,4,0.0017047091387212276,14.0,5.0,0.01,500
60,5,0.0017184587195515633,14.0,6.0,0.01,500
61,6,0.0017364169470965862,15.0,8.0,0.01,500
62,7,0.0017534997314214706,16.0,10.0,0.01,500
63,8,0.0017701671458780766,17.0,12.0,0.01,500
64,9,0.0017836247570812702,17.0,13.0,0.01,500
65,10,0.001800833735615015,18.0,15.0,0.01,500
66,0,5.5625103414058685e-05,13.0,0.0,0.1,500
67,1,0.0016519171185791492,13.0,1.0,0.1,500
68,2,0.0016696667298674583,13.0,2.0,0.1,500
69,3,0.0016832919791340828,13.0,3.0,0.1,500
70,4,0.0017047091387212276,14.0,5.0,0.1,500
71,5,0.0017184587195515633,14.0,6.0,0.1,500
72,6,0.0017364169470965862,15.0,8.0,0.1,500
73,7,0.0017534997314214706,16.0,10.0,0.1,500
74,8,0.0017701671458780766,17.0,12.0,0.1,500
75,9,0.0017836247570812702,17.0,13.0,0.1,500
76,10,0.001800833735615015,18.0,15.0,0.1,500
77,0,5.5625103414058685e-05,13.0,0.0,0.1,500
78,1,0.0016519171185791492,13.0,1.0,0.1,500
79,2,0.0016696667298674583,13.0,2.0,0.1,500
80,3,0.0016832919791340828,13.0,3.0,0.1,500
81,4,0.0017047091387212276,14.0,5.0,0.1,500
82,5,0.0017184587195515633,14.0,6.0,0.1,500
83,6,0.0017364169470965862,15.0,8.0,0.1,500
