,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,schedule_exp_const
0,0,13.0,0,5.5625103414058685e-05,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",geometric,0.001,0.99,0.001,0.001,0.001,500,
1,10,18.0,15,0.001800833735615015,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",geometric,0.001,0.99,0.001,0.001,0.001,500,
2,0,13.0,0,3.38749960064888e-05,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",exponential,0.001,,0.001,0.001,0.001,500,0.005
3,10,18.0,15,0.0013913330622017384,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",exponential,0.001,,0.001,0.001,0.001,500,0.005
4,0,13.0,0,3.312528133392334e-05,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",arithmetic,0.001,0.0001,0.001,0.001,0.001,500,
5,10,18.0,15,0.0014130421914160252,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",arithmetic,0.001,0.0001,0.001,0.001,0.001,500,
6,0,13.0,0,3.2499898225069046e-05,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",geometric,0.01,0.99,0.001,0.009999996733651609,0.01,500,
7,10,18.0,15,0.001441208180040121,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",geometric,0.01,0.99,0.001,0.009999855154786574,0.01,500,
8,0,13.0,0,3.283284604549408e-05,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",exponential,0.01,,0.001,0.009999998358357833,0.01,500,0.005
9,10,18.0,15,0.0014829998835921288,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",exponential,0.01,,0.001,0.009999925850280731,0.01,500,0.005
